Year,absolute value,in comparison with same period of last year (%),,
2018,67.7,88.3,,
2017,76.7,96.8,,
2016,79.2,108,,
2015,73.3,118,,
2014,62.1,106,,
2013,58.6,90.2,,
2012,65,88,,
2011,73.9,88.7,,
2010,83.3,102.3,,
2009,81.4,108.7,,
2008,74.9,90.5,,
2007,82.8,93.1,,
2006,88.9,90.7,,
2005,98,85.4,,
2004,114.8,92,,
2003,124.8,93.3,,
2002,133.7,91.1,,
2001,146.8,86.6,,
2000,169.5,103.2,,
