Days,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Minimum,480.6,480.46,480.06,480.06,482.48,482.02,480.3,480.95,481.66,483.28,484.26,483.75
Maximum,484.93,483.11,480.94,483.72,486.68,483.49,483.17,483.14,485.41,486.24,488.68,485.28
Average,482.74,481.38,480.44,481.43,484.1,482.63,481.5,482.42,483.72,484.99,486.3,484.63
Monthly fluctuation,,-1.36,-0.94,0.99,2.67,-1.47,-1.13,0.92,1.3,1.27,1.31,-1.6
