Year ,Value,Type
2013,800.7,Total
2013,265.5,Male
2013,535.2,Female
2013,582.5,Urban
2013,218.2,Rural
2014,804.5,Total
2014,256.8,Male
2014,547.7,Female
2014,561,Urban
2014,243.5,Rural
2015,790.3,Total
2015,257.5,Male
2015,532.8,Female
2015,547.3,Urban
2015,243,Rural
2016,785.1,Total
2016,260.1,Male
2016,525,Female
2016,545.2,Urban
2016,239.9,Rural
2017,790.6,Total
2017,268.3,Male
2017,522.3,Female
2017,538.3,Urban
2017,252.3,Rural
