Year,The visitors that are tourists on the WTO methodology,The outbonds that are tourists on the WTO methodology  
2006,382240,337064
2007,510286,467573
2008,558442,515548
2009,586755,551682
2010,729260,715470
2011,832746,830492
2012,963035,965372
2013,1081984,1080021
2014,1203745,1198060
2015,1192119,1187369
2016,1259657,1262687
2017,1494779,1481755
2018,1651782,1622791
